fng_low,fng_high,rainbow_low,rainbow_high,alloc_fear_low,alloc_fear_high,alloc_greed_low,alloc_greed_high,equity,ratio,cagr,max_dd,sharpe,trades
15,70,0.35,0.8,90,50,70,30,3.2217882645952556,0.5244960457211681,0.1592348259524916,-0.6498031836809586,0.6039268871684275,1944
15,70,0.35,0.75,90,50,70,30,3.0286244151662514,0.4930496355659311,0.1502179234698433,-0.6410329915538829,0.593134570042649,1940
15,70,0.35,0.8,90,60,70,30,3.0217691712700625,0.4919336254433798,0.14988878209991907,-0.6565514755259939,0.5954087601267184,1944
20,70,0.35,0.8,90,50,70,30,3.0016453261563436,0.4886575326899112,0.14891879167496258,-0.6573385680100126,0.5947534379631654,1943
15,70,0.35,0.8,90,50,60,30,2.977189471760095,0.4846762037284388,0.1477323163332398,-0.6257262353036982,0.5639294311209053,1944
15,70,0.3,0.8,90,50,70,30,2.939349583562846,0.4785160001085769,0.14587962572976476,-0.6508109219008759,0.5871220083997314,2045
15,75,0.35,0.8,90,50,70,30,2.9292205561504914,0.4768670292922254,0.14538016053946423,-0.654573122671895,0.5922986064323307,2103
15,70,0.35,0.75,90,50,60,30,2.8592699058504545,0.4654793040710577,0.1418890825520689,-0.6179792765444054,0.5559441809111533,1940
15,70,0.35,0.7,90,50,70,30,2.8320997716112477,0.4610560996889511,0.14051293374156426,-0.6322500816114829,0.5813433979018257,1936
15,70,0.35,0.8,90,70,70,30,2.830130630278976,0.46073553025439445,0.14041275039721546,-0.6635045559157817,0.5868071571812075,1944
20,70,0.35,0.75,90,50,70,30,2.8225588092067797,0.4595028638327933,0.140026953182548,-0.648745110855002,0.5839548439143118,1939
15,70,0.35,0.75,90,60,70,30,2.8215288312261193,0.45933518696092285,0.13997440419856932,-0.6486020997614883,0.5836376956460334,1940
20,70,0.35,0.8,90,60,70,30,2.7950576505677764,0.4550257698172063,0.13861807313945462,-0.6647367429853759,0.5853622105568437,1943
15,70,0.35,0.8,90,60,60,30,2.793494402360867,0.45477127838708514,0.13853762492716482,-0.6329347632030392,0.5541577918287655,1944
