fng_thresh,rainbow_thresh,fng_low,fng_high,rainbow_low,rainbow_high,ratio,equity,trades,fees,sharpe
60,0.6,100,95,100,95,1.2519507919570048,7.690277938762799,2234,2.2088822230319303,0.8247939031858603
60,0.6,100,95,98,95,1.2489699738287277,7.671967858176068,2675,1.974607034620966,0.8238451120317428
60,0.6,98,95,100,95,1.2489699738287277,7.671967858176068,2675,1.974607034620966,0.8238451120317428
60,0.6,98,95,98,95,1.2489699738287277,7.671967858176068,2675,1.974607034620966,0.8238451120317428
60,0.7,100,95,100,95,1.2467729767420843,7.658472504895826,2092,2.2130293453419596,0.8253268427602154
60,0.7,100,95,98,95,1.246058279802392,7.6540823817827395,2672,1.9776387848654984,0.8241739664991733
60,0.7,98,95,100,95,1.246058279802392,7.6540823817827395,2672,1.9776387848654984,0.8241739664991733
60,0.7,98,95,98,95,1.246058279802392,7.6540823817827395,2672,1.9776387848654984,0.8241739664991733
60,0.5,98,95,98,95,1.2432375152020345,7.63675545175008,2678,1.9284428820652044,0.8230320669612241
60,0.5,100,95,98,95,1.2432375152020345,7.63675545175008,2678,1.9284428820652044,0.8230320669612241
60,0.5,98,95,100,95,1.2432375152020345,7.63675545175008,2678,1.9284428820652044,0.8230320669612241
60,0.5,100,95,100,95,1.2425981052923971,7.632827789454165,2405,2.1329782485098567,0.823451818610016
40,0.5,100,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,98,95,100,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.5,98,95,100,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.5,98,95,100,97,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.5,98,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,98,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,98,95,100,97,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,100,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,98,95,100,97,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.6,98,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,98,95,100,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,100,95,98,95,1.2424364179747296,7.631834603124458,2685,1.6384292381941465,0.8223299694165858
40,0.7,100,95,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.5,100,95,100,97,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.6,100,95,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.7,100,95,100,97,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.5,100,95,100,95,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
40,0.6,100,95,100,97,1.2415943011883883,7.626661786280963,2677,1.6380271619667286,0.8222977976496444
50,0.5,98,95,100,95,1.2402312886489948,7.618289296460042,2681,1.7510535849114113,0.8221959742213978
50,0.5,98,95,98,95,1.2402312886489948,7.618289296460042,2681,1.7510535849114113,0.8221959742213978
50,0.5,100,95,98,95,1.2402312886489948,7.618289296460042,2681,1.7510535849114113,0.8221959742213978
50,0.5,100,95,100,95,1.2380745063654757,7.605040968075079,2669,1.8329330638082646,0.822088762182608
60,0.6,100,95,100,97,1.2362537742099868,7.5938568732866045,2227,2.2625873800691627,0.8243512178549489
50,0.6,100,95,98,95,1.2362315420360597,7.593720309135856,2681,1.8275916538799188,0.8218774488059174
50,0.6,98,95,98,95,1.2362315420360597,7.593720309135856,2681,1.8275916538799188,0.8218774488059174
