strategy,config,ratio,equity,trades,avg_alloc
Rainbow Velocity,"w=5,t=0.05,a=94",1.2099312273053202,7.432167050448918,337,99.51211072664358
Rainbow Velocity,"w=5,t=0.05,a=95",1.1734170314277872,7.207873638269585,337,99.59342560553634
Rainbow Velocity,"w=5,t=0.05,a=96",1.1374297899238073,6.986817114967757,337,99.67474048442907
Rainbow Velocity,"w=5,t=0.05,a=97",1.10198263030151,6.769078118046767,337,99.7560553633218
Rainbow Velocity,"w=5,t=0.05,a=98",1.0670878179425625,6.554731989280953,337,99.83737024221455
Rainbow Velocity,"w=5,t=0.1,a=94",1.0612846556908124,6.519085276226095,41,99.94602076124566
Rainbow Velocity,"w=5,t=0.1,a=95",1.0513190653639877,6.457870282849773,41,99.95501730103805
Rainbow Velocity,"w=5,t=0.1,a=96",1.0411861000725173,6.395627165998964,41,99.96401384083045
Rainbow Velocity,"w=5,t=0.1,a=97",1.0308867055855342,6.332361735189139,41,99.97301038062282
Rainbow Velocity,"w=5,t=0.1,a=98",1.020421867369792,6.2680800437838045,41,99.98200692041522
Rainbow Velocity,"w=5,t=0.15,a=94",1.0990287618472978,6.7509335794967145,11,99.98131487889273
Rainbow Velocity,"w=5,t=0.15,a=95",1.082285532104043,6.648086014604075,11,99.98442906574395
Rainbow Velocity,"w=5,t=0.15,a=96",1.0655698829378328,6.545407867155433,11,99.98754325259516
Rainbow Velocity,"w=5,t=0.15,a=97",1.0488826641273874,6.442904357032104,11,99.99065743944637
Rainbow Velocity,"w=5,t=0.15,a=98",1.032224719619749,6.340580668293524,11,99.99377162629757
Rainbow Velocity,"w=5,t=0.2,a=94",1.1043475123594153,6.783604727586475,3,99.98961937716263
Rainbow Velocity,"w=5,t=0.2,a=95",1.0866294885599361,6.674769357682984,3,99.99134948096886
Rainbow Velocity,"w=5,t=0.2,a=96",1.0689750377836869,6.566324493717255,3,99.99307958477509
Rainbow Velocity,"w=5,t=0.2,a=97",1.051384514963516,6.458272315912563,3,99.99480968858131
Rainbow Velocity,"w=5,t=0.2,a=98",1.0338582707893291,6.350614978429329,3,99.99653979238755
Rainbow Velocity,"w=7,t=0.05,a=94",1.1717756044913987,7.197790950165472,391,99.4456747404844
Rainbow Velocity,"w=7,t=0.05,a=95",1.1426594397160734,7.0189409497728406,391,99.53806228373702
Rainbow Velocity,"w=7,t=0.05,a=96",1.11364097589156,6.840691090752738,391,99.63044982698962
Rainbow Velocity,"w=7,t=0.05,a=97",1.0847434295619884,6.663183983883708,391,99.72283737024222
Rainbow Velocity,"w=7,t=0.05,a=98",1.0559894640804552,6.486558841893163,391,99.8152249134948
Rainbow Velocity,"w=7,t=0.1,a=94",1.16451036192425,7.153163210007597,47,99.93356401384082
Rainbow Velocity,"w=7,t=0.1,a=95",1.1359561092550634,6.977764831117282,47,99.9446366782007
Rainbow Velocity,"w=7,t=0.1,a=96",1.107789948289621,6.804750358277185,47,99.95570934256057
Rainbow Velocity,"w=7,t=0.1,a=97",1.0800116430961777,6.634118342244487,47,99.96678200692043
Rainbow Velocity,"w=7,t=0.1,a=98",1.0526208570162927,6.465866715048948,47,99.97785467128028
Rainbow Velocity,"w=7,t=0.15,a=94",1.0699743615290025,6.572462975678092,9,99.97923875432525
Rainbow Velocity,"w=7,t=0.15,a=95",1.0584067991115105,6.501407650951275,9,99.98269896193773
Rainbow Velocity,"w=7,t=0.15,a=96",1.0467338433808981,6.429704933470695,9,99.98615916955018
Rainbow Velocity,"w=7,t=0.15,a=97",1.0349560834048217,6.357358441664509,9,99.98961937716263
Rainbow Velocity,"w=7,t=0.15,a=98",1.0230741170233888,6.284371847846857,9,99.99307958477509
Rainbow Velocity,"w=7,t=0.2,a=94",1.1084649873399735,6.8088968774136225,3,99.98546712802768
Rainbow Velocity,"w=7,t=0.2,a=95",1.090005665336805,6.695507982516578,3,99.9878892733564
Rainbow Velocity,"w=7,t=0.2,a=96",1.0716320953797993,6.5826458312208365,3,99.99031141868512
Rainbow Velocity,"w=7,t=0.2,a=97",1.053344514508131,6.470311879571753,3,99.99273356401383
Rainbow Velocity,"w=7,t=0.2,a=98",1.0351431546308296,6.358507552102067,3,99.99515570934257
Rainbow Velocity,"w=10,t=0.05,a=94",1.2426909968094209,7.633398388225802,419,99.41038062283737
Rainbow Velocity,"w=10,t=0.05,a=95",1.2000062853947693,7.371201745495595,419,99.50865051903115
Rainbow Velocity,"w=10,t=0.05,a=96",1.1581356915528165,7.11400593063267,419,99.60692041522492
Rainbow Velocity,"w=10,t=0.05,a=97",1.117090478000276,6.861880126405575,419,99.70519031141866
Rainbow Velocity,"w=10,t=0.05,a=98",1.0768805828731831,6.614885379165966,419,99.80346020761246
Rainbow Velocity,"w=10,t=0.1,a=94",1.1191180067803947,6.874334497574254,45,99.92941176470589
Rainbow Velocity,"w=10,t=0.1,a=95",1.0989269495593457,6.750308183676875,45,99.94117647058825
