fng_thresh,sp500_bull,sp500_bear,ratio,trades,fees
60,100,90,1.7126534521644416,2544,18.1661455835399
60,98,90,1.6166101822343995,2703,11.730565396641445
50,100,90,1.5584141984295106,2700,12.741057356401015
50,98,90,1.5268573179570595,2711,8.832921886984915
40,100,90,1.4995695914065401,2709,5.591557952913894
40,98,90,1.491599175140507,2709,4.694678207018494
60,100,95,1.4397961978577594,2523,14.02346917546885
60,98,95,1.3590465890350767,2682,8.603928669531765
50,100,95,1.3100649861537772,2678,9.519497663152759
50,98,95,1.2835367603827552,2689,6.211642937698328
40,100,95,1.260581433195636,2686,3.473658860174725
40,98,95,1.2538811936286995,2686,2.71518788571604
